iter	Passed	Remaining
398	97432	146759
399	97819	146729
400	98113	146558
401	98419	146405
402	98769	146316
403	99002	146052
404	99296	145879
405	99543	145637
406	99789	145393
407	100083	145219
408	100317	144958
409	100591	144752
410	100857	144538
411	101107	144299
412	101358	144062
413	101629	143852
414	101898	143639
415	102157	143413
416	102404	143169
417	102658	142935
418	102972	142784
419	103250	142583
420	103544	142404
421	103793	142162
422	104056	141940
423	104366	141780
424	104635	141566
425	104924	141377
426	105214	141188
427	105546	141057
428	105842	140877
429	106177	140747
430	106498	140597
431	106792	140412
432	107096	140238
433	107419	140091
434	107697	139883
435	107974	139673
436	108280	139501
437	108588	139330
438	108916	139185
439	109200	138981
440	109443	138728
441	109746	138548
442	110026	138339
443	110256	138068
444	110546	137872
445	110841	137682
446	111132	137485
447	111405	137266
448	111715	137093
449	112004	136894
450	112312	136717
451	112660	136587
452	112943	136380
453	113263	136216
454	113561	136024
455	113884	135862
456	114167	135652
457	114531	135537
458	114773	135277
459	115085	135100
460	115371	134892
461	115668	134696
462	116028	134573
463	116456	134527
464	116792	134374
465	117133	134225
466	117470	134072
467	117788	133896
468	118076	133685
469	118413	133530
470	118709	133327
471	119029	133151
472	119329	132953
473	119664	132791
474	119996	132627
475	120306	132438
476	120582	132210
477	120901	132030
478	121203	131831
479	121530	131658
480	121854	131481
481	122278	131410
482	1483	122658	13483	1484	123123	13484	1485	123622	130744
486	124130	130757
487	124381	130498
488	124799	130414
489	125305	130419
490	125825	130438
491	126223	130328
492	126590	130185
493	127108	130196
494	127914	130498
495	128225	130294
496	128427	129977
497	128578	129610
498	128990	129507
499	129390	129390
500	129723	129205
501	130055	129019
502	130444	128888
503	130765	128690
504	131092	128496
505	131424	128307
506	131847	128206
507	132250	128085
508	132641	127950
509	133066	127848
510	133415	127671
511	133812	127539
512	134238	127434
513	134630	127296
514	135051	127184
515	135383	126987
516	135772	126843
517	136103	126644
518	136505	126510
519	136905	126374
520	137330	126259
521	137715	126107
522	138072	125928
523	138446	125763
524	138796	125578
525	139152	125395
526	139595	125291
527	139934	125093
528	140308	124925
529	140669	124744
530	141014	124549
531	141387	124378
532	141728	124178
533	142122	124024
534	142483	123840
535	142793	123612
536	143114	123393
537	143458	123193
538	143831	123017
539	144202	122839
540	144551	122641
541	144909	122451
542	145370	122347
543	145698	122129
544	146102	121975
545	146489	121805
546	146899	121655
547	147288	121485
548	147666	121306
549	148068	121147
550	148415	120941
551	148756	120729
552	149179	120584
553	149585	120424
554	149972	120247
555	150287	120013
556	150641	119810
557	150983	119596
558	151363	119411
559	151682	119178
560	152015	118956
561	152391	118767
562	152744	118560
563	153195	118427
564	153688	118326
565	154121	118178
566	154499	117986
567	154875	117792
568	155248	117596
569	155726	117477
570	156195	117351
571	156644	117209
572	157044	117029
573	157412	116825
574	157845	116668
575	158264	116499
576	158730	116365
577	159260	116276
578	159660	116091
579	160112	115943
580	160488	115739
581	160786	115478
582	161174	115282
583	161493	115036
584	161890	114845
585	162309	114668
586	162706	114476
587	163025	114229
588	163367	113996
589	163688	113749
590	164033	113518
591	164358	113273
592	164712	113048
593	165232	112936
594	165679	112773
595	166087	112582
596	166478	112380
597	166865	112173
598	167251	111966
599	167573	111715
600	167935	111491
601	168323	111283
602	168691	111061
603	169035	110824
604	169353	110569
605	169752	110367
606	170138	110155
607	170520	109940
608	170888	109716
609	171280	109507
610	171647	109281
611	172017	109056
612	172406	108843
613	172826	108649
614	173305	108491
615	173823	108357
616	174295	108192
617	174910	108115
618	175317	107909
619	175563	107603
620	175919	107364
621	176272	107123
622	176562	106844
623	176988	106646
624	177315	106389
625	177646	106133
626	177924	105846
627	178263	105595
628	178705	105405
629	179093	105181
630	179528	104985
631	179904	104754
632	180313	104542
633	180743	104340
634	181121	104109
635	181422	103832
636	181808	103605
637	182151	103352
638	182477	103089
639	182773	102810
640	183218	102613
641	183624	102394
642	183914	102111
643	184225	101839
644	184527	101561
645	184868	101305
646	185177	101032
647	185476	100752
648	185779	100475
649	186067	100189
650	186325	99889
651	186689	99643
652	187000	99370
653	187304	99093
654	187740	98886
655	188113	98645
656	188478	98399
657	188893	98178
658	189307	97957
659	189650	97698
660	190015	97451
661	190317	97171
662	190613	96887
663	190943	96621
664	191289	96364
665	191593	96084
666	191923	95817
667	192242	95545
668	192590	95287
669	192856	94989
670	193179	94718
671	193494	94443
672	193876	94201
673	194226	93943
674	194564	93679
675	194979	93451
676	195362	93208
677	195764	92973
678	196111	92712
679	196514	92477
680	196926	92245
681	197262	91978
682	197617	91719
683	197998	91472
684	198405	91237
685	198850	91019
686	199170	90742
687	199498	90470
688	199770	90172
689	200075	89889
690	200401	89615
691	200741	89347
692	201100	89087
693	201403	88803
694	201759	88541
695	202102	88274
696	202378	87978
697	202706	87703
698	203044	87434
699	203366	87157
700	203692	86881
701	204055	86621
702	204325	86322
703	204643	86043
704	204952	85760
705	205229	85464
706	205589	85201
707	205891	84915
708	206217	84639
709	206488	84340
710	206823	84067
711	207123	83780
712	207463	83509
713	207790	83232
714	208125	82958
715	208459	82684
716	208743	82391
717	209079	82117
718	209378	81829
719	209653	81531
720	209922	81232
721	210188	80931
722	210514	80653
723	210850	80379
724	211204	80112
725	211518	79829
726	211788	79530
727	212090	79242
728	212371	78947
729	212653	78652
730	212988	78377
731	213301	78094
732	213597	77804
733	214005	77555
734	214280	77257
735	214534	76952
736	214873	76677
737	215147	76380
738	215418	76081
739	215737	75799
740	216044	75513
741	216349	75226
742	216601	74921
743	216942	74646
744	217233	74354
745	217617	74095
746	217863	73787
747	218220	73518
748	218636	73268
749	219138	73046
750	220021	72949
751	220782	72811
752	221334	72602
753	221647	72314
754	221942	72020
755	222182	71709
756	222418	71397
757	222664	71088
758	223177	70864
759	223737	70654
760	224152	70397
761	224476	70112
762	224808	69829
763	225205	69566
764	225490	69268
765	225906	69010
766	226244	68728
767	226463	68410
768	226696	68097
769	226934	67785
770	227114	67456
771	227346	67143
772	227576	66830
773	227755	66502
774	227940	66176
775	228111	65846
776	228297	65521
777	228502	65202
778	228751	64896
779	229222	64652
780	229408	64328
781	229733	64043
782	230121	63775
783	230330	63458
784	230527	63138
785	230738	62821
786	231044	62531
787	231281	62222
788	231441	61893
789	231621	61570
790	231803	61247
791	231966	60920
792	232131	60594
793	232286	60265
794	232432	59935
795	232609	59613
796	232801	59295
797	233002	58980
798	233217	58669
799	233425	58356
800	233626	58042
801	233856	57735
802	234071	57424
803	234284	57114
804	234453	56793
805	234634	56475
806	234814	56157
807	234974	55835
808	235132	55513
809	235291	55191
810	235461	54873
811	235607	54549
812	235799	54236
813	235971	53919
814	236123	53598
815	236308	53285
816	236453	52963
817	236595	52641
818	236742	52320
819	237137	52054
820	237339	51746
821	237570	51444
822	237776	51137
823	238033	50842
824	238332	50555
825	238589	50259
826	238788	49952
827	238991	49645
828	239208	49342
829	239500	49054
830	239817	48771
831	240151	48492
832	240358	48187
833	240686	47906
834	241026	47628
835	241308	47338
836	241542	47038
837	241922	46767
838	242425	46520
839	242783	46244
840	243206	45980
841	243573	45706
842	243929	45429
843	244275	45150
844	244592	44866
845	245076	44612
846	245422	44332
847	245886	44074
848	246342	43813
849	246654	43527
850	247054	43256
851	247407	42976
852	247739	42693
853	248100	42415
854	248431	42131
855	248786	41851
856	249129	41570
857	249519	41295
858	249893	41018
859	250254	40739
860	250688	40471
861	251064	40193
862	251454	39918
863	251864	39645
864	252185	39358
865	252503	39070
866	252874	38791
867	253189	38503
868	253517	38217
869	253802	37924
870	254057	37627
871	254342	37334
872	254564	37032
873	254814	36735
874	255033	36433
875	255285	36136
876	255496	35833
877	255662	35524
878	255857	35220
879	256069	34918
880	256243	34611
881	256459	34310
882	256686	34011
883	256861	33705
884	257006	33396
885	257204	33094
886	257387	32790
887	257556	32484
888	257748	32182
889	257905	31875
890	258134	31578
891	258290	31272
892	258510	30974
893	258689	30672
894	258905	30374
895	259074	30071
896	259255	29769
897	259393	29463
898	259535	29158
899	259712	28856
900	259930	28560
901	260079	28256
902	260227	27953
903	260386	27651
904	260523	27347
905	260673	27045
906	260825	26743
907	260983	26443
908	261124	26141
909	261282	25841
910	261441	25541
911	261599	25242
912	261757	24942
913	261908	24643
914	262081	24346
915	262346	24057
916	262544	23763
917	262769	23471
918	262998	23180
919	263172	22884
920	263337	22588
921	263496	22291
922	263666	21996
923	263827	21700
924	264020	21407
925	264220	21114
926	264383	20819
927	264538	20524
928	264684	20228
929	264853	19935
930	264991	19639
931	265116	19343
932	265316	19052
933	265484	18760
934	265675	18469
935	265867	18178
936	266126	17893
937	266336	17604
938	266563	17316
939	266801	17029
940	267016	16741
941	267229	16453
942	267437	16165
943	267616	15875
944	267816	15587
945	267993	15297
946	268158	15007
947	268356	14719
948	268531	14431
949	268694	14141
950	268875	13853
951	269042	13565
952	269200	13276
953	269335	12986
954	269493	12698
955	269682	12412
956	270111	12136
957	270308	11850
958	270470	11563
959	270662	11277
960	270852	10991
961	271020	10705
962	271211	10420
963	271401	10135
964	271592	9850
965	271781	9565
966	271950	9280
967	272131	8996
968	272267	8710
96969	272529	84297970	272722	81497971	272958	78697972	273173	7580
973	273371	7297
974	273616	7015
975	273832	6733
976	274014	6450
977	274208	6168
978	274394	5885
979	274586	5603
